target;Area Name;Type;State;Region;CDU 2005;SPD 2005;FDP 2005;GREEN 2005;LEFT 2005;Non-Voters 2005;CDU 2009;SPD 2009;FDP 2009;GREEN 2009;LEFT 2009;Non-Voters 2009;Pop. density;Elderly pop.;Old pop.;Mid-aged pop.;Young pop.;Children pop.;Migration balance;Social welfare;Poor elderly inh.;Poor child.;High-school degree;No school degree;Child care;Business Regstr.;Income;Employees;GPD;Unemployed;Unemployed Youth;Permanently unemployed ;Agricult. workf.;Ind. workf.;Service workf.;Pub. serv. workf.;Cars;Tractors;Registrd. Web Doms.;Bankruptcies
-1;Pinneberg (Kreis);Rural;Schleswig-Holstein;North;36.8;37.4;10.3;9.1;4.4;18.3;33.1;26.3;16.6;12.1;7.8;24.4;455.3;21.3;27.8;26;7.2;17.6;5;0.3;24.6;7.5;33.3;5.8;13;105.6;20360;34.9;23788;6;6.7;29;3.4;51.6;54.5;30.6;509;3;0.19;104.8
-1;Ploen;Rural;Schleswig-Holstein;North;37.3;38.5;9.5;8.4;4.1;17.5;32.7;27.6;16.1;13.6;6.5;22.3;124.2;22.7;27.9;25.7;6.6;17;2;0.5;22.1;4.8;20;7.3;14;86.8;18213;29.4;15880;7;7.6;33;1.8;11.2;16.5;16.9;520;5;0.127;50
-1;Rendsburg-Eckernfoerde;Rural;Schleswig-Holstein;North;38.1;37.3;10.1;8.2;4.1;19.1;33.9;26.6;16.1;12.9;6.5;24;123.8;21.2;28;24.7;7.3;18.7;1;0.7;17.3;7.1;22.1;8.9;10;95.6;18849;31.3;22253;5.6;6;29;4.2;30.6;43.5;42.4;551;5;0.136;144.6
-1;Schleswig-Flensburg;Rural;Schleswig-Holstein;North;39.4;37.3;10.1;7.1;4.2;20.2;35;25.5;15.5;12.9;7.2;25.2;95.8;21.5;27.5;24.6;7.5;18.9;2;0.8;29.9;4.3;15.8;8.7;13;111.1;17923;29.1;20325;8.5;10.2;4;4.4;20;30.6;28.6;548;7;0.133;171.2
-1;Segeberg;Rural;Schleswig-Holstein;North;37.4;36;11.6;8.1;4.4;19.9;33.5;24.8;17.9;11.4;8.1;25.7;192;20.1;27.9;26.4;7.4;18.2;3;0.6;18.7;8.5;26.1;5.4;13;115.7;19463;36.4;25079;5.1;5;29;2.7;47.6;50.5;31.9;557;3;0.161;82.3
-1;Steinburg;Rural;Schleswig-Holstein;North;37.6;37.4;10.3;7;4.6;21;33.6;26;16.7;11;7.9;27.2;126.3;21.2;27.8;25;7.8;18.2;-1;0.5;17.2;5.1;22.6;7.1;8;103.3;17986;32.3;26377;5.8;5.7;23;2.7;21.1;20.4;17.7;529;6;0.114;136.4
-1;Stormarn;Rural;Schleswig-Holstein;North;37.1;35.6;11.3;9.9;4.2;17.2;33.4;24.9;17.5;13.1;7.5;22.5;298;21.9;28.3;25.2;6.6;18.1;7;0.3;19.4;6.4;35.9;5.2;13;112.8;22312;35;26774;4.1;4.6;25;1.6;49.4;50;24.9;569;2;0.18;73.2
-1;Hamburg;Urban;Hamburg;North;28.9;38.7;9;14.9;6.3;22.5;27.8;27.4;13.2;15.6;11.2;28.7;2349;19;25;32.5;8.3;15.3;1;0.6;22.5;7.6;44.6;7.9;18;115.4;24137;33.9;49832;8.1;7.1;33;3.2;251.4;651.9;313.4;403;1;0.271;96.5
-1;Braunschweig;Urban;Lower Saxony;North;28.9;44.5;8.5;9.9;5.6;21.5;29;28.7;11.4;14.3;9.9;26.3;1287.5;21.3;25.6;29.4;9.1;14.6;8;0.3;19.9;9.5;42.7;6.6;16;79.9;19123;33.3;33660;9.2;7;40;0.2;48.6;73;51.6;451;1;0.182;117.8
-1;Salzgitter;Urban;Lower Saxony;North;29.5;50.8;6.2;4.3;5.7;23.2;29.6;36.3;8.9;7;12.3;29.6;462;23.3;28.2;23.4;8.2;16.8;-4;0.4;35;6.1;19.3;7.2;8;58.7;16866;31.5;30158;9.6;8.5;36;0.2;51.6;16.8;12.8;471;1;0.079;111.4
-1;Wolfsburg;Urban;Lower Saxony;North;32.1;46.5;7.6;6.2;4.5;22.5;35;31.7;9.7;9.1;8.5;29.4;593.5;23.7;26.4;26.2;8.2;15.5;7;0.2;27.3;11.7;36;3.5;15;64.6;18849;36.3;70074;7;6.1;44;0.2;112.7;34.8;17.7;902;1;0.082;82.9
-1;Gifhorn;Rural;Lower Saxony;North;34.9;43.1;8.8;6.2;3.9;19.2;36.6;30;11.4;8.9;7.7;26.4;110.8;18.3;28.7;25.2;8.1;19.7;-2;0.4;28.7;6.1;21.7;5.8;11;63;18061;35.4;14598;6.7;7.1;39;1.8;18.4;22.6;17.8;519;5;0.083;82.3
-1;Goettingen;Rural;Lower Saxony;North;30.3;41.6;9;11.5;5.1;19.8;28.5;29.4;13.2;15.4;8.8;25.4;232.1;19.2;27.4;27.9;9.9;15.7;0;0.5;22.3;6.1;37.8;4.6;16;77.4;18027;31;26545;9.7;9.3;5;1.6;41.8;49;53.8;471;4;0.136;69.1
-1;Goslar;Rural;Lower Saxony;North;32.4;44.7;9.3;5.4;5.5;21.5;31.3;31.8;13.2;7.9;10.7;27.9;149.9;26.3;28.4;23.3;7.4;14.5;-3;0.6;31.4;6;21.8;8.1;12;82;18188;29.2;21726;9.7;9.4;37;0.7;23.4;24.5;23.1;512;3;0.104;116.4
-1;Helmstedt;Rural;Lower Saxony;North;31.8;46.6;7.9;5.2;4.6;21.3;32.2;31.7;11.6;8.9;8.6;26.9;139.4;22.7;29.3;24;7.7;16.3;-4;0.4;30.7;9.1;27.5;3.8;12;69.4;18280;32.8;16432;9.1;9.7;43;0.8;10.2;10.3;11.1;521;3;0.069;139.2
-1;Northeim;Rural;Lower Saxony;North;30;47.8;9.2;5.7;4.4;20.2;29.2;34.8;13.7;8.5;9.1;26.2;110.9;23.8;28.9;23.3;7.5;16.6;-6;0.3;36.4;6;31;5.6;10;76.1;18206;32.4;20822;8.2;9.1;36;2.4;29.8;19.9;18.9;559;6;0.09;84.6
-1;Osterode am Harz;Rural;Lower Saxony;North;31;47.5;8.4;5;4.9;22;29.6;34.1;14.2;8;9;28.5;123;26.5;28.7;22.2;6.9;15.5;-6;0.8;26.2;2.9;22.8;6;11;68.2;18164;30.2;26434;9.9;10.6;3;0.5;21.4;11.2;10.6;553;7;0.086;101.7
-1;Peine;Rural;Lower Saxony;North;29;50.8;7.3;5.8;4.5;18.8;29.7;36.4;10.8;8.8;9.1;24.9;246.9;20.8;27.9;25.3;7.3;18.7;0;0.4;16.8;12.2;18.5;6.2;10;83.6;17895;33.9;17761;8;8.3;4;0.9;18.3;17.2;13.4;545;3;0.094;99.7
-1;Wolfenbuettel;Rural;Lower Saxony;North;32.5;45.1;8.2;6.7;4.6;18;31.3;32.3;11.4;10.7;8.6;22.7;169.9;22.2;28.9;24.3;7.2;17.4;-3;0.6;26.2;4.1;24.6;8;13;81.9;18118;32.3;15241;6.8;6.7;38;1.1;11.1;12.6;14.9;540;3;0.093;104.7
-1;Hannover;Urban;Lower Saxony;North;29;45.7;8.9;9.6;4.3;19.8;29.4;31.2;12.7;12.8;8.6;25.1;493.4;21.1;27;27.8;7.9;16.3;2;0.5;18.6;13.6;33.4;6.3;13;84.8;19079;33;34389;9.1;9;43;3.7;176.3;303.3;206.7;453;2;0.164;86.9
